,review,clean_text_stopward,clean_text,dominant_topic
10,Let's start here only reason I came into McDonald's waste time till girlfriend flight arrives and ξfor my duaghters. I don't eat fast food ordered two happy meals slow service... While ordering my food ξa guy ask the cashier two use his cell in the middle of my order that was strike one then give me little boy toys knowing I have twin girls stabding right in front of him. Im glad I will never have to return here I live way in sandy springs.... I can see the difference between service and the staff The building it self is brand new change your staff this is Blackmac not McDonald's im black myself but telling the truth,Let's start reason I came McDonald's waste time till girlfriend flight arrives ξfor duaghters. I eat fast food ordered two happy meals slow service... While ordering food ξa guy ask cashier two use cell middle order strike one give little boy toys knowing I twin girls stabding right front him. Im glad I never return I live way sandy springs.... I see difference service staff The building self brand new change staff Blackmac McDonald's im black telling truth,let start reason came mcdonald waste time till girlfriend flight arrives ξfor duaghters eat fast food ordered two happy meal slow service ordering food ξa guy ask cashier two use cell middle order strike one give little boy toy knowing twin girl stabding right front im glad never return live way sandy spring see difference service staff building self brand new change staff blackmac mcdonald im black telling truth,5
11,"Other businesses throughout Metro Atlanta opened their doors to stranded motorists during the Jan. 2014 snow storm. This McDonald's on Camp Creek Parkway told ξa group of senior citizens who were on the way home from an outing that they had to leave their restaurant. ξAll they cared about was the dollar. ξAfter they got that, they were done with them. ξToo bad they couldn't have made it down the street to Wendy's or Chic Fil A and other restaurants.","Other businesses throughout Metro Atlanta opened doors stranded motorists Jan. 2014 snow storm. This McDonald's Camp Creek Parkway told ξa group senior citizens way home outing leave restaurant. ξAll cared dollar. ξAfter got that, done them. ξToo bad made street Wendy's Chic Fil A restaurants.",business throughout metro atlanta opened door stranded motorist jan snow storm mcdonald camp creek parkway told ξa group senior citizen way home outing leave restaurant ξall cared dollar ξafter got done ξtoo bad made street wendy chic fil restaurant,3
12,"The drive thru makes them lost a star since my last review.This is one of those two lane drive thrus, and I know that the function of that is so that the orders are not messed up when you get to the window, but almost everytime, the cashier ends up asking me what did I order. ξI inquired about that before and was told, that when someone drives off that messes up the order.Well, I guess there's no controlling drive off, and at least I know my order has been confirmed, so it should be right by the time I get to the second window.This McDonald's, also has a late night drive thru Thur - Sat, it use to be a 24 hour on those days, but I don't think it is any longer. One of my biggest pet peeves is that the drive thru staff has no smile in their voice. When you are ordering food from the luxury of your vehicle you want to think that the person in charge of taking your order is in good spirits, but not at this location.","The drive thru makes lost star since last review.This one two lane drive thrus, I know function orders messed get window, almost everytime, cashier ends asking I order. inquired told, someone drives messes order.Well, I guess there's controlling drive off, least I know order confirmed, right time I get second window.This McDonald's, also late night drive thru Thur - Sat, use 24 hour days, I think longer. One biggest pet peeves drive thru staff smile voice. When ordering food luxury vehicle want think person charge taking order good spirits, location.",drive thru make lost star since last review one two lane drive thrus know function order messed get window almost everytime cashier end asking order ξi inquired told someone drive mess order well guess controlling drive least know order confirmed right time get second window mcdonald also late night drive thru thur sat use hour day think longer one biggest pet peeve drive thru staff smile voice ordering food luxury vehicle want think person charge taking order good spirit location,5
13,"Believe it or not, this used to be q really good McDonalds. The drive throuh is so slow, it is frustrating but the service is always friendly. Food is normally luke warm. My niece likes the toys from McDonalds, I wonder if I pull up to the window and say, let me just get the toy, woulf service be faster?","Believe not, used q really good McDonalds. The drive throuh slow, frustrating service always friendly. Food normally luke warm. My niece likes toys McDonalds, I wonder I pull window say, let get toy, woulf service faster?",believe used q really good mcdonalds drive throuh slow frustrating service always friendly food normally luke warm niece like toy mcdonalds wonder pull window say let get toy woulf service faster,1
14,"As the previous yelpers have already stated, this place is pretty slow. The food is usually cold.. and the service....yeah. you guessed it. Poor.","As previous yelpers already stated, place pretty slow. The food usually cold.. service....yeah. guessed it. Poor.",previous yelpers already stated place pretty slow food usually cold service yeah guessed poor,1
15,25 minutes in drive through line. Gunshots from the apartments behind. ξWorst McDonald's ever!,25 minutes drive line. Gunshots apartments behind. ξWorst McDonald's ever!,minute drive line gunshot apartment behind ξworst mcdonald ever,4
16,"Super slow service, food's terrible like its been sitting and then reheated. ξEverything is out, napkins, iced tea","Super slow service, food's terrible like sitting reheated. ξEverything out, napkins, iced tea",super slow service food terrible like sitting reheated ξeverything napkin iced tea,1
17,"SLOW-SLOW-SLOW! ξDon't go here if you have a flight to catch...or a life to live!!!!! ξIf you're hungry, wait until you get to the airport. ξThis particular McDonald's is just not worth your time.","SLOW-SLOW-SLOW! ξDon't go flight catch...or life live!!!!! ξIf hungry, wait get airport. ξThis particular McDonald's worth time.",slow slow slow ξdon go flight catch life live ξif hungry wait get airport ξthis particular mcdonald worth time,5
18,"On your way to the airport or just cruising down Camp Creek Pkwy? ξAre you absolutely in Love with McDonald's Sweet Tea? Well then don't ever go through this drive thru. ξHands down this is the slowest McDonald's drive thru I've experienced in Atlanta. ξConsidering this location is close to the airport it would be great if they could simply improve the quality of service. ξAs a lover of Sweet Tea, I was completely turned off by this location when I overheard the drive thru operator joking about how sweet it was a few years ago. ξShe told a few of her associates that it was like ""syrup"" and ""liquid diabetes"". By the time I took my first and only sip, I was on I-285 headed to Perimeter Mall and it tasted like cold syrup! ξThank goodness for the McDonald's near Perimeter Mall because they refilled my drink. So the moral to the story is, if you're on Camp Creek Pkwy near the airport, bypass McDonald's and head for Chick-fil-A. #EatMoreChicken","On way airport cruising Camp Creek Pkwy? ξAre absolutely Love McDonald's Sweet Tea? Well ever go drive thru. ξHands slowest McDonald's drive thru I've experienced Atlanta. ξConsidering location close airport would great could simply improve quality service. ξAs lover Sweet Tea, I completely turned location I overheard drive thru operator joking sweet years ago. ξShe told associates like ""syrup"" ""liquid diabetes"". By time I took first sip, I I-285 headed Perimeter Mall tasted like cold syrup! ξThank goodness McDonald's near Perimeter Mall refilled drink. So moral story is, Camp Creek Pkwy near airport, bypass McDonald's head Chick-fil-A. #EatMoreChicken",way airport cruising camp creek pkwy ξare absolutely love mcdonald sweet tea well ever go drive thru ξhands slowest mcdonald drive thru experienced atlanta ξconsidering location close airport would great could simply improve quality service ξas lover sweet tea completely turned location overheard drive thru operator joking sweet year ago ξshe told associate like syrup liquid diabetes time took first sip headed perimeter mall tasted like cold syrup ξthank goodness mcdonald near perimeter mall refilled drink moral story camp creek pkwy near airport bypass mcdonald head chick fil eatmorechicken,2
19,This is the worst McDonalds I have ever seen. ξThe service was terrible and the employees were either lazy or incompetent. I will never return to this establishment.,This worst McDonalds I ever seen. ξThe service terrible employees either lazy incompetent. I never return establishment.,worst mcdonalds ever seen ξthe service terrible employee either lazy incompetent never return establishment,1
20,"I had the McCafe Mocha and must say that it was better than drinking sand and salt water, that's about it.Too sweet and I couldn't even taste the coffee over the other weird flavors going on in this drink.Stick with the Starbucks mocha, folks. ξTrust me on this one.","I McCafe Mocha must say better drinking sand salt water, that's it.Too sweet I even taste coffee weird flavors going drink.Stick Starbucks mocha, folks. ξTrust one.",mccafe mocha must say better drinking sand salt water sweet even taste coffee weird flavor going drink stick starbucks mocha folk ξtrust one,5
21,"GHETTO!! went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces. ξFinally made it inside and it was about 5 customers to one cashier. The shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line. ξNow how is that when they are waiting on their order...hell I was thinking you are holding up the customer and the others waiting.! Anyway finally placed order and was told $1.07, which I paid exact price. Here is where its sad...the cashier did not ring up the soda so therefore I did not get a receipt. I know that she planned to pocket the money, which is sad and bad because eventually that cost will get passed off to customers through price increases. I will not return here because I don't like to feel like I am in someone's ""hood"" and I HATE A THIEF!!! maybe I will call to tell them but then again they probably don't care or maybe even steal themselves. ξplus I do not eat fast food anyway so no need to waste precious minutes","GHETTO!! went yesterday get soda could even park handicap parking spot delivery truck blocking spaces. ξFinally made inside 5 customers one cashier. The shift manager made comment car waiting needed pulled holding line. ξNow waiting order...hell I thinking holding customer others waiting.! Anyway finally placed order told $1.07, I paid exact price. Here sad...the cashier ring soda therefore I get receipt. I know planned pocket money, sad bad eventually cost get passed customers price increases. I return I like feel like I someone's ""hood"" I HATE A THIEF!!! maybe I call tell probably care maybe even steal themselves. ξplus I eat fast food anyway need waste precious minutes",ghetto went yesterday get soda could even park handicap parking spot delivery truck blocking space ξfinally made inside customer one cashier shift manager made comment car waiting needed pulled holding line ξnow waiting order hell thinking holding customer others waiting anyway finally placed order told paid exact price sad cashier ring soda therefore get receipt know planned pocket money sad bad eventually cost get passed customer price increase return like feel like someone hood hate thief maybe call tell probably care maybe even steal ξplus eat fast food anyway need waste precious minute,9
22,"I visited mcdonalds on Dec 20, 2011 at 12:54 I bought 3 cheese burgers 2 large fries and 2 orders of pies. ξThey charged me for 3 fries so I went back into store and told the cashier. She denied I said ξ I ordered 2 fries. ξThen manager came over and said whats the problem. I told him and he said looked into the bag, grabbed the xtra fries and lterally threw them into the waste bucket by the drive tru from the cashier . ξThen reached into cash register and gave me change for the fries. ξThen i said thank you and he said ok boss and I left. ξI then called mcdonalds people via the nimber on the website after I ate. I told then I was going to wait to yelp after I heard from McDonalds. ξStill no call or email. ξAs a side note ...Tom N. ξ(the otther yelper) is right, they are very rude there and seem bothered to help you and not at all nice to the kids. ξThe play room is sticky and the video games in ther always cause an altercation with kids and parents. ξThe only reason I gave 2 stars was because the fries were hot and the sweet potatoe fries were good and warm.","I visited mcdonalds Dec 20, 2011 12:54 I bought 3 cheese burgers 2 large fries 2 orders pies. ξThey charged 3 fries I went back store told cashier. She denied I said ξ I ordered 2 fries. ξThen manager came said whats problem. I told said looked bag, grabbed xtra fries lterally threw waste bucket drive tru cashier . ξThen reached cash register gave change fries. ξThen said thank said ok boss I left. called mcdonalds people via nimber website I ate. I told I going wait yelp I heard McDonalds. ξStill call email. ξAs side note ...Tom N. ξ(the otther yelper) right, rude seem bothered help nice kids. ξThe play room sticky video games ther always cause altercation kids parents. ξThe reason I gave 2 stars fries hot sweet potatoe fries good warm.",visited mcdonalds dec bought cheese burger large fry order pie ξthey charged fry went back store told cashier denied said ξ ordered fry ξthen manager came said whats problem told said looked bag grabbed xtra fry lterally threw waste bucket drive tru cashier ξthen reached cash register gave change fry ξthen said thank said ok bos left ξi called mcdonalds people via nimber website ate told going wait yelp heard mcdonalds ξstill call email ξas side note tom n ξ otther yelper right rude seem bothered help nice kid ξthe play room sticky video game ther always cause altercation kid parent ξthe reason gave star fry hot sweet potatoe fry good warm,5
23,I usually hit the drive thru once or twice a week for breakfast. A lot of times the forget to include the hash brown if I order a meal. If I order hot cakes they usually forget either butter or utinsils prompting me to have to go inside. The food is also very inconsistent.,I usually hit drive thru twice week breakfast. A lot times forget include hash brown I order meal. If I order hot cakes usually forget either butter utinsils prompting go inside. The food also inconsistent.,usually hit drive thru twice week breakfast lot time forget include hash brown order meal order hot cake usually forget either butter utinsils prompting go inside food also inconsistent,1
24,"What a joke.Don't do take out as you will not get anything that you ordered. We prefers and paid for items only to get home with 50% of the order accurate. I've been there numerous times and sadly the same thing happens. It's my fault because I should learn.Does anyone know the owner?I can't believe that he would like this comment. Woodstock Macdonalds is not the place that Ray Crock invented. Save yourself the frustration and waste if money, don't go there!I've learned now.","What joke.Don't take get anything ordered. We prefers paid items get home 50% order accurate. I've numerous times sadly thing happens. It's fault I learn.Does anyone know owner?I can't believe would like comment. Woodstock Macdonalds place Ray Crock invented. Save frustration waste money, go there!I've learned now.",joke take get anything ordered prefers paid item get home order accurate numerous time sadly thing happens fault learn anyone know owner believe would like comment woodstock macdonalds place ray crock invented save frustration waste money go learned,9
25,I wish I can give zero stars. Freezing cold reheated soggy fries and twice fried chewy nuggets = straight to my trash can.,I wish I give zero stars. Freezing cold reheated soggy fries twice fried chewy nuggets = straight trash can.,wish give zero star freezing cold reheated soggy fry twice fried chewy nugget straight trash,1
26,"I agree with most reviewers on this one. Staff is always rude and annoyed that you're there!!1 I travel weekly to Atlanta Hartsfield Airport and this McDonald's never has fresh hot coffee at 4:30/5:00 AM. Always have to wait while they brew coffee, WTH!!","I agree reviewers one. Staff always rude annoyed there!!1 I travel weekly Atlanta Hartsfield Airport McDonald's never fresh hot coffee 4:30/5:00 AM. Always wait brew coffee, WTH!!",agree reviewer one staff always rude annoyed travel weekly atlanta hartsfield airport mcdonald never fresh hot coffee always wait brew coffee wth,7
27,"I don't think this location deserves even one star. ξThis is the filthiest McDonalds I have ever visited. ξI have been to hundreds of different McDonalds in numerous states as well as 19 foreign countries. I went to this location on 3/29/12 for breakfast. ξThe first thing I noticed was that the floor was sticky. (A previous reviewer made a similar comment about the play area.) When I noticed this, I said to myself, ""this isn't right."" ξThen when I looked for a place to sit, I spotted all the debris in the seat crevices and the floor. There were also flies in the dining area which I had to repeatedly brush off my food. ξAs for the food, it seemed OK, except, this was the first time ever that I was given cold syrup for my hotcakes at a McDonalds..","I think location deserves even one star. ξThis filthiest McDonalds I ever visited. hundreds different McDonalds numerous states well 19 foreign countries. I went location 3/29/12 breakfast. ξThe first thing I noticed floor sticky. (A previous reviewer made similar comment play area.) When I noticed this, I said myself, ""this right."" ξThen I looked place sit, I spotted debris seat crevices floor. There also flies dining area I repeatedly brush food. ξAs food, seemed OK, except, first time ever I given cold syrup hotcakes McDonalds..",think location deserves even one star ξthis filthiest mcdonalds ever visited ξi hundred different mcdonalds numerous state well foreign country went location breakfast ξthe first thing noticed floor sticky previous reviewer made similar comment play area noticed said right ξthen looked place sit spotted debris seat crevice floor also fly dining area repeatedly brush food ξas food seemed ok except first time ever given cold syrup hotcake mcdonalds,1
28,This is one rude Mcdonalds! The food takes longer to prepare than any other Macdonalds I have ever been to. The people working there always seem annoyed like you are bothering them just by being there. I avoid this mc d's whenever I can.,This one rude Mcdonalds! The food takes longer prepare Macdonalds I ever to. The people working always seem annoyed like bothering there. I avoid mc d's whenever I can.,one rude mcdonalds food take longer prepare macdonalds ever people working always seem annoyed like bothering avoid mc whenever,1
29,the managers at this mcdonalds are awesome but some of the workers are lazy. ξoverall an average mcdonalds. ξafter visiting it and some other once i realized that this one is really average. ξthe only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me.,managers mcdonalds awesome workers lazy. ξoverall average mcdonalds. ξafter visiting realized one really average. ξthe thing good one management awesome across street house sit around study till midnight one bothers me.,manager mcdonalds awesome worker lazy ξoverall average mcdonalds ξafter visiting realized one really average ξthe thing good one management awesome across street house sit around study till midnight one bother,5
30,"It had been a while since I had stopped at this particular one. ξThey have done a total remodel and it looks fairly fresh. ξStopped by about ξ10-11pm and went through drive thru. ξI thought I'd try a new McWrap. ξGot a fry and a spicy chick along with that. ξ I was asked to pull up after sitting at the window for a few minutes and they would bring me ξmy order. ξThat is fine, except about 15 minutes later I'm still waiting. ξSo I go to check what is going on and end up waiting another 5 minutes. ξ It appeared I wasn't the only one that had a long wait in drive thru as well. ξ McWrap - I was disappointed. ξLooked like a wrap that had grilled chicken sprinkle with some mixed greens, then had sweet and sour sauce dumped in it.","It since I stopped particular one. ξThey done total remodel looks fairly fresh. ξStopped ξ10-11pm went drive thru. thought I'd try new McWrap. ξGot fry spicy chick along that. ξ I asked pull sitting window minutes would bring ξmy order. ξThat fine, except 15 minutes later I'm still waiting. ξSo I go check going end waiting another 5 minutes. ξ It appeared I one long wait drive thru well. ξ McWrap - I disappointed. ξLooked like wrap grilled chicken sprinkle mixed greens, sweet sour sauce dumped it.",since stopped particular one ξthey done total remodel look fairly fresh ξstopped ξ pm went drive thru ξi thought try new mcwrap ξgot fry spicy chick along ξ asked pull sitting window minute would bring ξmy order ξthat fine except minute later still waiting ξso go check going end waiting another minute ξ appeared one long wait drive thru well ξ mcwrap disappointed ξlooked like wrap grilled chicken sprinkle mixed green sweet sour sauce dumped,4
31,Disorganized. ξDidn't even get to order. Employees were hanging out with friends out front.,Disorganized. ξDidn't even get order. Employees hanging friends front.,disorganized ξdidn even get order employee hanging friend front,8
32,"This has got to be one of the busiest McDonald's in the metro area ... if not the southeast ... and they are fairly efficient despite being so busy all the time.You can come by just about any time of the day and find the line of cars for the ""drive-thru"" wrapped around the building...It's generally more efficient to go into the building and place your order than wait in the line of cars spewing smog... and since the building is open 24 hours now that should make it easy to get your McFix...good job, Clairmont McDonald's!","This got one busiest McDonald's metro area ... southeast ... fairly efficient despite busy time.You come time day find line cars ""drive-thru"" wrapped around building...It's generally efficient go building place order wait line cars spewing smog... since building open 24 hours make easy get McFix...good job, Clairmont McDonald's!",got one busiest mcdonald metro area southeast fairly efficient despite busy time come time day find line car drive thru wrapped around building generally efficient go building place order wait line car spewing smog since building open hour make easy get mcfix good job clairmont mcdonald,9
33,"THIS MCDONALDS IS HORRIBLE! They are also down the street from my house. You might just want to go to the next McDonald's down the street, less than half a mile maybe. It's brand new and just opened. The reviews here speak for themselves. NO CUSTOMER SERVICE WHATSOEVER. they always rush you at drive-thru and never get the meal correct because they are all ignorant fucks who can't speak proper English or don't even know English. They don't even give you time to respond on an order completion. I've dined inside and it was fine, however it was dirty around me on most occasions. But 99% of the time I eat there, MY MEAL IS ALWAYS INCORRECT! Always! It's ridiculous! I found out it's an ongoing problem; especially at this store. The fries are always pre sorted and they are a hot or miss. They are really good or really bad, which is really annoying. The sandwich is the same, sometimes they put fresh dripping meat on the bun and it makes it soggy, which is disgusting. Most of the times the sandwich is just plain incorrect. I've had to call corporate about the poor customer service I've had with employees and several managers at this location; as well as the constant issue of my order being messed up (which is very inconvenient in drive-thru). I'm telling you, go to the next McDonald's. The employees here hate their job and are idiots.","THIS MCDONALDS IS HORRIBLE! They also street house. You might want go next McDonald's street, less half mile maybe. It's brand new opened. The reviews speak themselves. NO CUSTOMER SERVICE WHATSOEVER. always rush drive-thru never get meal correct ignorant fucks can't speak proper English even know English. They even give time respond order completion. I've dined inside fine, however dirty around occasions. But 99% time I eat there, MY MEAL IS ALWAYS INCORRECT! Always! It's ridiculous! I found ongoing problem; especially store. The fries always pre sorted hot miss. They really good really bad, really annoying. The sandwich same, sometimes put fresh dripping meat bun makes soggy, disgusting. Most times sandwich plain incorrect. I've call corporate poor customer service I've employees several managers location; well constant issue order messed (which inconvenient drive-thru). I'm telling you, go next McDonald's. The employees hate job idiots.",mcdonalds horrible also street house might want go next mcdonald street le half mile maybe brand new opened review speak customer service whatsoever always rush drive thru never get meal correct ignorant fuck speak proper english even know english even give time respond order completion dined inside fine however dirty around occasion time eat meal always incorrect always ridiculous found ongoing problem especially store fry always pre sorted hot miss really good really bad really annoying sandwich sometimes put fresh dripping meat bun make soggy disgusting time sandwich plain incorrect call corporate poor customer service employee several manager location well constant issue order messed inconvenient drive thru telling go next mcdonald employee hate job idiot,5
